Date,E10,Implied Earnings,PE,PE10,StiClose,Unnamed: 3
2019-06-30,252.44684946713429,246.22757598220906,13.49,13.157660739324996,3321.61,
2019-05-31,251.41995300061592,246.26856240126384,12.66,12.400606884181395,3117.76,
2019-05-05,250.75104831393867,244.22534197264218,13.89,13.528517718310294,3392.29,
31/3/2019,248.7159546,242.84807259999997,13.23,12.91786852,3212.88,
28/2/2019,249.50043650000003,263.3352459,12.2,12.8764905,3212.69,
31/1/2019,248.87264280000002,275.96626299999997,11.56,12.81848404,3190.17,
31/12/2018,248.122924,270.13732389999996,11.36,12.36790197,3068.76,
1/12/2018,247.4134463,270.39115350000003,11.53,12.600810699999998,3117.61,
31/10/2018,247.4601866,280.2971216,10.77,12.19913409,3018.8,
2/10/2018,247.4077106,281.4800347000001,11.52,13.1065034,3242.65,
1/9/2018,247.320377,283.1259912,11.35,12.99318737,3213.48,
1/8/2018,247.20266040000004,277.3475355,11.97,13.42966938,3319.85,
28/7/2018,247.10809759999998,266.97171380000003,12.02,12.98621952,3209.0,
1/7/2018,247.0,312.0,10.4,13.13,3244.89,
1/6/2018,247.0,312.0,11.0,13.89,3427.51,
1/5/2018,246.0,305.0,11.84895082,14.67,3613.93,
1/4/2018,246.0,305.0,11.24839344,13.94,3430.76,
1/3/2018,246.0,305.0,11.52081967,14.29,3513.85,
1/2/2018,245.0,300.0,11.77,14.38,3529.82,
1/1/2018,245.0,307.0,11.1,13.88,3402.92,
1/12/2017,245.0,286.0,12.06116279,14.09,3449.54,
1/11/2017,245.0,259.0,13.07222222,13.86,3391.61,
1/10/2017,245.0,249.0,13.08666667,13.33,3262.1,
1/9/2017,245.0,246.0,13.11,13.2,3230.97,
1/8/2017,245.0,256.0,13.02,13.63,3338.2,
1/7/2017,245.0,246.0,13.13,13.17,3223.46,
1/6/2017,245.0,246.0,13.18,13.22,3235.96,
1/5/2017,245.0,252.0,12.75,13.12,3211.11,
1/4/2017,245.0,255.0,12.5,13.03,3187.51,
1/3/2017,244.0,250.0,12.5,12.78,3122.77,
1/2/2017,244.0,256.0,12.0,12.56,3067.49,
1/1/2017,244.0,244.0,11.8072,11.82,2880.76,
1/12/2016,243.0,236.0,12.38,11.99,2919.37,
1/11/2016,243.0,235.0,11.98,11.57,2813.69,
1/10/2016,243.0,237.0,12.16017327,11.9,2888.0,
1/9/2016,242.0,233.0,12.11,11.62,2816.47,
8/1/2016,242.0,240.0,11.93,11.85,2868.69,
1/7/2016,242.0,238.0,11.96,11.78,2846.37,
1/6/2016,241.0,238.0,11.73,11.57,2790.54,
1/4/2016,241.0,240.0,11.83,11.8,2840.9,
1/3/2016,240.0,212.0,12.67,11.16,2682.39,
1/2/2016,240.0,214.0,12.3,10.95,2629.11,
1/1/2016,240.0,216.0,13.33,12.02,2882.73,
2/12/2015,240.0,216.0,13.37,12.03,2883.64,
1/11/2015,239.0,216.0,13.9,12.52,2998.35,
1/10/2015,239.0,222.0,12.63,11.71,2801.85,
1/9/2015,239.0,222.0,12.96,12.06,2882.77,
1/8/2015,239.0,223.0,14.38,13.42,3202.5,
9/6/2015,238.0,219.0,15.03,13.83,3295.13,
8/5/2015,238.0,224.0,15.42,14.51,3452.01,
1/4/2015,238.0,226.0,15.29,14.54,3453.75,
1/3/2015,237.0,242.0,14.07,14.35,3402.86,
1/2/2015,237.0,246.0,13.77,14.33,3391.2,
1/1/2015,236.0,245.0,13.76,14.25,3365.15,
1/12/2014,236.0,247.0,13.59,14.21,3350.5,
1/11/2014,235.0,246.0,13.29,13.91,3274.25,
13/10/2014,234.0,237.0,13.47,13.65,3198.86,
1/9/2014,233.0,239.0,13.85,14.19,3314.13,
1/8/2014,233.0,238.0,14.0409916,14.38,3344.42,
10/7/2014,232.0,237.0,13.79,14.11,3269.5,
20/6/2014,231.0,237.0,13.74,14.12,3258.8,
2/5/2014,230.0,234.0,13.89,14.15,3252.55,
4/4/2014,229.0,229.0,14.01,14.03,3212.72,
1/3/2014,228.0,232.0,13.41,13.65,3110.78,
1/2/2014,227.0,235.0,12.89,13.34,3027.22,
1/1/2014,226.0,234.0,13.54,14.03,3167.43,
1/12/2013,225.0,234.0,13.6,14.14,3176.35,
1/11/2013,223.0,234.0,13.69,14.33,3201.2,
4/10/2013,222.0,243.0,12.92,14.13,3138.04,
21/8/2013,221.0,243.0,12.796,14.08,3108.99,
7/8/2013,219.0,242.0,13.3431,14.72,3229.91,
1/7/2013,218.0,244.0,12.9369,14.46,3150.44,
1/6/2013,216.0,244.0,13.597000000000001,15.3,3311.37,
1/5/2013,215.0,247.0,13.6416,15.66,3368.18,
1/4/2013,214.0,303.0,10.9193,15.49,3307.58,
1/3/2013,212.0,309.0,10.59,15.46,3269.5,
1/2/2013,209.0,264.0,12.4777,15.71,3291.14,
18/1/2013,208.0,263.0,12.1735,15.43,3205.04,
1/12/2012,206.0,262.0,11.712,14.9,3069.95,
1/11/2012,204.0,248.0,12.2318,14.87,3038.37,
1/10/2012,203.0,249.0,12.287,15.07,3057.86,
1/9/2012,201.0,247.0,12.2517,15.03,3025.46,
1/8/2012,200.0,249.0,12.2165,15.2,3036.4,
6/7/2012,198.0,304.0,9.80068,15.02,2978.55,
2/6/2012,196.0,308.0,8.91274,13.98,2745.71,
1/5/2012,194.0,315.0,9.46948,15.32,2978.57,
1/4/2012,192.0,301.0,9.99538,15.64,3010.46,
1/3/2012,191.0,302.0,9.781460000000001,15.49,2951.68,
1/2/2012,189.0,345.0,8.417,15.39,2904.76,
1/1/2012,187.0,410.0,6.461,14.19,2646.35,
1/12/2011,184.0,351.0,7.837999999999999,14.96,2749.24,
1/11/2011,182.0,354.0,7.876,15.36,2789.35,
1/10/2011,180.0,357.0,7.487,14.89,2675.16,
1/9/2011,178.0,349.0,8.274,16.24,2885.26,
1/8/2011,176.0,326.0,8.562000000000001,15.88,2791.89,
1/7/2011,174.0,298.0,10.592,18.12,3151.28,
1/6/2011,172.0,250.0,12.41916537,18.01,3102.98,
2/5/2011,171.0,250.0,12.63668636,18.46,3159.93,
1/4/2011,170.0,251.0,12.65042317,18.67,3172.73,
1/3/2011,169.0,251.0,12.37172916,18.4,3105.85,
1/2/2011,168.0,252.0,11.96833748,17.96,3010.51,
3/1/2011,166.0,246.0,12.9348,19.11,3179.72,
1/12/2010,165.0,251.0,12.7048,19.3,3190.04,
1/11/2010,164.0,255.0,12.3563,19.17,3144.7,
1/10/2010,163.0,252.0,12.4577,19.31,3142.62,
1/9/2010,161.0,254.0,12.1946,19.19,3097.63,
3/8/2010,160.0,249.0,11.8508,18.43,2950.33,
1/7/2010,159.0,250.0,11.9433,18.81,2987.7,
1/6/2010,158.0,253.0,11.2026,18.0,2835.51,
3/5/2010,156.0,215.0,12.8325,17.62,2752.6,
1/4/2010,155.0,213.0,13.9943,19.17,2974.61,
1/3/2010,154.0,214.0,13.4896,18.73,2887.46,
1/2/2010,153.0,202.0,13.5859,17.97,2750.86,
4/1/2010,152.0,202.0,13.5597,18.05,2745.35,
1/12/2009,151.0,202.0,14.3129,19.18,2897.62,
2/11/2009,150.0,122.0,22.436,18.24,2732.12,
1/10/2009,149.0,121.0,21.9804,17.77,2651.13,
1/9/2009,149.0,121.0,22.153000000000002,18.0,2672.57,
3/8/2009,148.0,125.0,20.8149,17.54,2592.9,
1/7/2009,147.0,123.0,21.5511,18.08,2659.2,
1/6/2009,146.0,123.0,18.9192,15.94,2333.14,
1/5/2009,146.0,166.0,14.0051,16.0,2329.08,
1/4/2009,144.0,167.0,11.5119,13.29,1920.28,
2/3/2009,143.0,170.0,9.9902,11.86,1699.99,
2/2/2009,142.0,188.0,8.4949,11.21,1594.87,
2/1/2009,141.0,186.0,9.3834,12.39,1746.47,
1/12/2008,140.0,185.0,9.5392,12.6,1761.56,
3/11/2008,139.0,276.0,6.2798,12.5,1732.57,
1/10/2008,137.0,274.0,6.5489999999999995,13.11,1794.2,
1/9/2008,135.0,271.0,8.711,17.46,2358.91,
1/8/2008,133.0,269.0,10.185,20.53,2739.95,
1/7/2008,132.0,266.0,11.0069,22.23,2929.65,
2/6/2008,130.0,266.0,11.0897,22.63,2947.54,
1/5/2008,129.0,272.0,11.7185,24.81,3192.62,
1/4/2008,127.0,274.0,11.4966,24.76,3147.79,
3/3/2008,126.0,275.0,10.9252,23.94,3007.36,
1/2/2008,124.0,276.0,10.9548,24.4,3026.45,
2/1/2008,122.0,243.0,12.2758,24.34,2981.75,
3/12/2007,121.0,273.0,12.7634,28.74,3482.3,
1/11/2007,120.0,273.0,12.8991,29.44,3521.27,
1/10/2007,118.0,267.0,14.2348,32.19,3805.7,
3/9/2007,117.0,259.0,14.3041,31.71,3706.23,
1/8/2007,116.0,262.0,12.9702,29.35,3392.91,
2/7/2007,114.0,257.0,13.7889,31.04,3547.66,
1/6/2007,113.0,242.0,14.6574,31.4,3548.2,
2/5/2007,112.0,241.0,14.5769,31.4,3511.13,
2/4/2007,111.0,240.0,13.9894,30.37,3361.29,
1/3/2007,110.0,230.0,14.0204,29.48,3231.24,
1/2/2007,109.0,231.0,13.4421,28.59,3104.15,
3/1/2007,108.0,233.0,13.4165,29.07,3125.56,
1/12/2006,106.0,201.0,14.8912,28.05,2985.83,
1/11/2006,106.0,201.0,14.1368,26.87,2838.53,
2/10/2006,105.0,201.0,13.4401,25.78,2701.75,
1/9/2006,104.0,195.0,13.1478,24.71,2568.86,
1/8/2006,103.0,193.0,12.8432,24.05,2482.39,
3/7/2006,102.0,195.0,12.5581,23.87,2445.43,
1/6/2006,102.0,195.0,12.509,23.95,2435.39,
2/5/2006,101.0,186.0,12.8378,23.63,2383.87,
3/4/2006,100.0,185.0,14.1251,26.06,2610.71,
1/3/2006,100.0,187.0,13.5629,25.46,2533.4,
1/2/2006,99.0,179.0,13.8516,25.12,2481.96,
3/1/2006,98.0,180.0,13.4302,24.57,2412.08,
1/12/2005,98.0,195.0,12.0676,24.07,2347.34,
1/11/2005,97.0,188.0,12.2236,23.78,2300.25,
3/10/2005,96.0,190.0,11.6543,23.09,2216.77,
1/9/2005,95.0,190.0,12.1202,24.2,2305.14,
1/8/2005,95.0,190.0,11.9994,24.07,2275.43,
1/7/2005,94.0,175.0,13.4548,25.08,2352.56,
1/6/2005,93.0,176.0,12.5974,23.75,2212.66,
3/5/2005,93.0,175.0,12.321,23.36,2161.77,
1/4/2005,92.0,178.0,11.9697,23.13,2125.25,
1/3/2005,91.0,179.0,11.9923,23.47,2141.43,
1/2/2005,91.0,195.0,10.8673,23.39,2119.4,
3/1/2005,90.0,195.0,10.7395,23.33,2096.32,
1/12/2004,89.0,195.0,10.5917,23.19,2066.14,
1/11/2004,88.0,134.0,15.173,22.98,2027.66,
1/10/2004,88.0,132.0,15.0376,22.54,1980.69,
1/9/2004,88.0,131.0,15.1747,22.67,1984.74,
2/8/2004,87.0,130.0,14.7742,22.0,1918.34,
1/7/2004,87.0,131.0,14.4853,21.77,1891.71,
1/6/2004,87.0,131.0,14.064,21.24,1838.0,
3/5/2004,86.0,118.0,15.1671,20.74,1788.66,
1/4/2004,86.0,114.0,16.2081,21.41,1842.03,
1/3/2004,86.0,113.0,16.3824,21.64,1858.92,
3/2/2004,86.0,92.0,20.6144,22.03,1888.63,
2/1/2004,86.0,92.0,20.1739,21.53,1848.36,
1/12/2003,86.0,92.0,19.2521,20.52,1764.52,
3/11/2003,86.0,79.0,21.7394,19.91,1714.0,
1/10/2003,86.0,79.0,21.8965,20.01,1723.71,
1/9/2003,86.0,79.0,20.7268,18.93,1630.8,
1/8/2003,86.0,68.0,23.4638,18.54,1599.25,
1/7/2003,86.0,68.0,22.9974,18.03,1558.87,
2/6/2003,87.0,68.0,21.3639,16.71,1447.89,
2/5/2003,87.0,65.0,20.6147,15.53,1349.0,
1/4/2003,87.0,65.0,19.6935,14.72,1281.33,
